dataset,index,method,metric,value,cell,cluster
100_8,9,copy_nj,tree_acc,0.1134020618556701,100,8
100_8,9,dice,tree_acc,0.1237113402061855,100,8
100_8,9,scistree2,tree_acc,0.2783505154639175,100,8
100_8,9,cellphy,tree_acc,0.3195876288659793,100,8
100_8,9,scistreec,tree_acc,0.268041237113402,100,8
150_8,0,copy_nj,tree_acc,0.0952380952380952,150,8
150_8,0,dice,tree_acc,0.0952380952380952,150,8
150_8,0,scistree2,tree_acc,0.2653061224489796,150,8
150_8,0,cellphy,tree_acc,0.2448979591836734,150,8
150_8,0,scistreec,tree_acc,0.25170068027210885,150,8
150_8,1,copy_nj,tree_acc,0.0884353741496598,150,8
150_8,1,dice,tree_acc,0.0884353741496598,150,8
150_8,1,scistree2,tree_acc,0.238095238095238,150,8
150_8,1,cellphy,tree_acc,0.2244897959183673,150,8
150_8,1,scistreec,tree_acc,0.2585034013605441,150,8
150_8,2,copy_nj,tree_acc,0.0952380952380952,150,8
150_8,2,dice,tree_acc,0.0952380952380952,150,8
150_8,2,scistree2,tree_acc,0.2312925170068027,150,8
150_8,2,cellphy,tree_acc,0.238095238095238,150,8
150_8,2,scistreec,tree_acc,0.29931972789115646,150,8
150_8,3,copy_nj,tree_acc,0.1088435374149659,150,8
150_8,3,dice,tree_acc,0.0884353741496598,150,8
150_8,3,scistree2,tree_acc,0.2789115646258503,150,8
150_8,3,cellphy,tree_acc,0.2789115646258503,150,8
150_8,3,scistreec,tree_acc,0.2789115646258503,150,8
150_8,4,copy_nj,tree_acc,0.1088435374149659,150,8
150_8,4,dice,tree_acc,0.1088435374149659,150,8
150_8,4,scistree2,tree_acc,0.2925170068027211,150,8
150_8,4,cellphy,tree_acc,0.3197278911564626,150,8
150_8,4,scistreec,tree_acc,0.35374149659863946,150,8
150_8,5,copy_nj,tree_acc,0.1020408163265306,150,8
150_8,5,dice,tree_acc,0.1088435374149659,150,8
150_8,5,scistree2,tree_acc,0.2517006802721088,150,8
150_8,5,cellphy,tree_acc,0.1972789115646258,150,8
150_8,5,scistreec,tree_acc,0.2789115646258503,150,8
150_8,6,copy_nj,tree_acc,0.1156462585034013,150,8
150_8,6,dice,tree_acc,0.1020408163265306,150,8
150_8,6,scistree2,tree_acc,0.3061224489795918,150,8
150_8,6,cellphy,tree_acc,0.2312925170068027,150,8
150_8,6,scistreec,tree_acc,0.3129251700680272,150,8
150_8,7,copy_nj,tree_acc,0.1088435374149659,150,8
150_8,7,dice,tree_acc,0.1088435374149659,150,8
150_8,7,scistree2,tree_acc,0.2993197278911564,150,8
150_8,7,cellphy,tree_acc,0.272108843537415,150,8
150_8,7,scistreec,tree_acc,0.3333333333333333,150,8
150_8,8,copy_nj,tree_acc,0.1156462585034013,150,8
150_8,8,dice,tree_acc,0.1088435374149659,150,8
150_8,8,scistree2,tree_acc,0.2108843537414966,150,8
150_8,8,cellphy,tree_acc,0.2040816326530612,150,8
150_8,8,scistreec,tree_acc,0.25170068027210885,150,8
150_8,9,copy_nj,tree_acc,0.1088435374149659,150,8
150_8,9,dice,tree_acc,0.1156462585034013,150,8
150_8,9,scistree2,tree_acc,0.2925170068027211,150,8
150_8,9,cellphy,tree_acc,0.2448979591836734,150,8
150_8,9,scistreec,tree_acc,0.29931972789115646,150,8
